# PSNR SSIM RMSE PCC
26.230158 0.631540 0.048902 0.883772
26.230002 0.631594 0.048904 0.883764
26.230577 0.631585 0.048900 0.883805
26.226725 0.631789 0.048923 0.883722
26.232748 0.631488 0.048888 0.883819
26.232228 0.631494 0.048891 0.883806
26.230392 0.631820 0.048902 0.883778
26.231985 0.631570 0.048892 0.883807
26.233324 0.631519 0.048884 0.883864
26.238610 0.631524 0.048853 0.883999
26.231891 0.631808 0.048894 0.883800
26.237334 0.631552 0.048861 0.883962
26.231601 0.631707 0.048896 0.883805
26.232278 0.631728 0.048891 0.883850
26.233541 0.631716 0.048884 0.883860
26.233424 0.631838 0.048885 0.883838
26.237812 0.631716 0.048859 0.883956
26.233787 0.631718 0.048883 0.883859
26.232466 0.631918 0.048891 0.883834
26.235707 0.631829 0.048872 0.883918
26.233591 0.631863 0.048885 0.883845
26.239700 0.631656 0.048848 0.884007
26.233242 0.631965 0.048887 0.883838
26.235347 0.631723 0.048875 0.883909
26.230056 0.631984 0.048907 0.883817
26.236449 0.631858 0.048868 0.883908
26.232113 0.632135 0.048895 0.883828
26.237972 0.631976 0.048861 0.883958
26.232193 0.632003 0.048894 0.883838
26.235117 0.632054 0.048877 0.883950
26.235238 0.632103 0.048877 0.883900
26.240210 0.631856 0.048847 0.884005
26.239498 0.631839 0.048852 0.883990
26.234220 0.632091 0.048883 0.883855
26.236811 0.632119 0.048868 0.883951
26.235805 0.632148 0.048874 0.883936
26.239442 0.631983 0.048852 0.883987
26.240878 0.632073 0.048844 0.884034
26.236890 0.632213 0.048868 0.883926
26.241994 0.631995 0.048838 0.884031
26.238380 0.632148 0.048859 0.883974
26.235824 0.632241 0.048875 0.883924
26.231872 0.632250 0.048899 0.883839
26.241208 0.631974 0.048843 0.884065
26.239836 0.632142 0.048851 0.884011
26.238000 0.632201 0.048862 0.883987
26.240427 0.632061 0.048848 0.884009
26.236994 0.632254 0.048868 0.883918
26.240974 0.632231 0.048845 0.884055
26.237873 0.632152 0.048863 0.883960
26.247329 0.631968 0.048808 0.884207
26.238991 0.632371 0.048857 0.884005
26.238288 0.632281 0.048862 0.883972
26.241319 0.632291 0.048843 0.884059
26.244077 0.632229 0.048828 0.884109
26.239008 0.632487 0.048859 0.883977
26.242258 0.632407 0.048839 0.884109
26.242546 0.632143 0.048838 0.884059
26.239093 0.632455 0.048858 0.884001
26.244888 0.632234 0.048823 0.884158
26.241685 0.632352 0.048842 0.884065
26.240816 0.632350 0.048848 0.884026
26.241253 0.632399 0.048845 0.884028
26.246187 0.632254 0.048817 0.884155
26.238290 0.632481 0.048863 0.883958
26.242209 0.632550 0.048840 0.884127
26.244881 0.632419 0.048825 0.884149
26.242216 0.632285 0.048841 0.884009
26.241861 0.632474 0.048843 0.884075
26.242766 0.632401 0.048837 0.884065
26.242405 0.632675 0.048840 0.884074
26.245502 0.632471 0.048822 0.884134
26.239757 0.632703 0.048856 0.884027
26.245765 0.632615 0.048820 0.884172
26.252796 0.632213 0.048778 0.884328
26.243704 0.632778 0.048832 0.884166
26.243943 0.632611 0.048831 0.884138
26.246220 0.632559 0.048819 0.884173
26.254586 0.632250 0.048767 0.884372
26.249798 0.632463 0.048797 0.884253
26.252752 0.632405 0.048780 0.884307
26.246626 0.632695 0.048817 0.884147
26.248348 0.632623 0.048805 0.884231
26.248796 0.632481 0.048803 0.884210
26.251655 0.632548 0.048787 0.884286
26.250085 0.632568 0.048796 0.884260
26.252370 0.632580 0.048784 0.884307
26.250667 0.632651 0.048794 0.884286
26.243333 0.633017 0.048837 0.884123
26.248308 0.632580 0.048808 0.884206
26.249006 0.632732 0.048803 0.884261
26.249351 0.632799 0.048801 0.884235
26.244326 0.632941 0.048831 0.884127
26.243031 0.633051 0.048838 0.884136
26.246770 0.632713 0.048817 0.884165
26.246983 0.632819 0.048816 0.884177
26.252673 0.632637 0.048782 0.884336
26.244277 0.632889 0.048832 0.884104
26.250032 0.632871 0.048799 0.884253
26.252280 0.632862 0.048784 0.884350
26.246131 0.632996 0.048822 0.884152
26.251583 0.632852 0.048789 0.884349
26.251161 0.632835 0.048791 0.884309
26.249528 0.632904 0.048802 0.884281
26.252896 0.632960 0.048782 0.884310
26.250259 0.632899 0.048797 0.884279
26.251956 0.633037 0.048787 0.884323
26.254790 0.632752 0.048770 0.884390
26.251908 0.632876 0.048788 0.884289
26.252980 0.632903 0.048781 0.884338
26.251220 0.632844 0.048792 0.884282
26.250241 0.633131 0.048798 0.884333
26.255280 0.632994 0.048769 0.884416
26.248143 0.633133 0.048812 0.884197
26.251552 0.633049 0.048791 0.884361
26.256296 0.633009 0.048762 0.884477
26.255606 0.632889 0.048767 0.884403
26.260167 0.632838 0.048739 0.884535
26.251910 0.633279 0.048789 0.884382
26.255919 0.633069 0.048766 0.884408
26.252719 0.633088 0.048785 0.884315
26.256976 0.633160 0.048759 0.884476
26.258601 0.632908 0.048751 0.884455
26.255811 0.632887 0.048768 0.884359
26.261916 0.632755 0.048731 0.884520
26.257423 0.633209 0.048757 0.884473
26.257425 0.633107 0.048758 0.884488
26.257277 0.633148 0.048759 0.884485
26.251236 0.633451 0.048794 0.884337
26.254266 0.633230 0.048777 0.884371
26.259227 0.633132 0.048747 0.884493
26.251594 0.633458 0.048793 0.884345
26.254871 0.633331 0.048773 0.884363
26.257559 0.633236 0.048758 0.884481
26.258932 0.633124 0.048751 0.884445
26.258299 0.633278 0.048754 0.884502
26.257275 0.633325 0.048760 0.884449
26.259605 0.633401 0.048746 0.884515
26.263344 0.633187 0.048724 0.884608
26.260923 0.633289 0.048739 0.884573
26.267345 0.632834 0.048700 0.884719
26.260606 0.633427 0.048741 0.884540
26.262546 0.633204 0.048729 0.884583
26.257784 0.633399 0.048758 0.884485
26.259893 0.633423 0.048745 0.884561
26.259174 0.633542 0.048750 0.884541
26.254414 0.633652 0.048778 0.884405
26.257213 0.633525 0.048761 0.884450
26.264120 0.633381 0.048720 0.884627
26.259288 0.633597 0.048750 0.884546
26.257609 0.633533 0.048761 0.884439
26.260322 0.633469 0.048744 0.884515
26.260195 0.633511 0.048744 0.884566
26.261170 0.633436 0.048739 0.884607
26.260934 0.633436 0.048741 0.884530
26.258726 0.633673 0.048755 0.884448
26.259376 0.633572 0.048751 0.884520
26.255152 0.633643 0.048776 0.884396
26.258321 0.633583 0.048756 0.884479
26.259914 0.633579 0.048747 0.884473
26.259878 0.633623 0.048748 0.884506
26.263094 0.633458 0.048728 0.884607
26.264805 0.633368 0.048718 0.884609
26.257398 0.633737 0.048762 0.884486
26.264906 0.633389 0.048719 0.884627
26.258334 0.633796 0.048758 0.884495
26.266571 0.633450 0.048709 0.884654
26.260197 0.633661 0.048747 0.884516
26.260064 0.633748 0.048747 0.884518
26.265104 0.633370 0.048718 0.884629
26.262233 0.633665 0.048734 0.884588
26.266317 0.633572 0.048710 0.884669
26.261004 0.633769 0.048743 0.884534
26.262202 0.633724 0.048735 0.884608
26.262959 0.633959 0.048731 0.884624
26.255582 0.634055 0.048775 0.884420
26.265755 0.633616 0.048715 0.884675
26.262530 0.633847 0.048733 0.884640
26.261965 0.633664 0.048737 0.884569
26.263949 0.633854 0.048726 0.884656
26.263824 0.633911 0.048726 0.884693
26.260333 0.633768 0.048747 0.884556
26.261682 0.633746 0.048740 0.884545
26.265078 0.633780 0.048719 0.884641
26.266216 0.633779 0.048712 0.884671
26.264678 0.633769 0.048722 0.884631
26.269856 0.633684 0.048690 0.884757
26.265937 0.633858 0.048715 0.884670
26.265431 0.633803 0.048718 0.884635
26.268194 0.633659 0.048702 0.884648
26.261185 0.633965 0.048743 0.884567
26.261236 0.633864 0.048743 0.884561
26.270630 0.633551 0.048688 0.884791
26.268106 0.633725 0.048703 0.884687
26.263851 0.633896 0.048728 0.884622
26.269758 0.633842 0.048693 0.884724
26.261147 0.633911 0.048744 0.884505
26.264856 0.633908 0.048722 0.884611
26.264833 0.633845 0.048723 0.884629
26.267377 0.634027 0.048707 0.884787
26.268012 0.634009 0.048704 0.884751
26.268130 0.634077 0.048703 0.884722
26.266022 0.634018 0.048715 0.884662
26.270030 0.633878 0.048692 0.884804
26.269791 0.633995 0.048693 0.884793
26.268782 0.633946 0.048700 0.884749
26.266786 0.633988 0.048712 0.884680
26.269584 0.634038 0.048695 0.884766
26.262389 0.634253 0.048738 0.884596
26.270784 0.633945 0.048688 0.884768
26.272007 0.633792 0.048682 0.884789
26.265901 0.634278 0.048717 0.884674
26.264954 0.634143 0.048724 0.884631
26.270817 0.633959 0.048689 0.884785
26.266481 0.634178 0.048715 0.884684
26.268392 0.634253 0.048703 0.884754
26.272463 0.634058 0.048678 0.884846
26.274684 0.633941 0.048667 0.884885
26.272759 0.633973 0.048678 0.884832
26.271485 0.633956 0.048685 0.884801
26.268490 0.634078 0.048704 0.884685
26.273638 0.634040 0.048673 0.884865
26.272214 0.633958 0.048681 0.884791
26.273965 0.633994 0.048672 0.884821
26.269588 0.634262 0.048697 0.884749
26.272344 0.634181 0.048682 0.884815
26.269493 0.634413 0.048697 0.884802
26.274963 0.634149 0.048666 0.884888
26.272736 0.634234 0.048679 0.884850
26.273797 0.634161 0.048672 0.884851
26.267963 0.634371 0.048707 0.884739
26.275249 0.634158 0.048664 0.884858
26.274105 0.634074 0.048671 0.884872
26.265073 0.634540 0.048724 0.884664
26.274280 0.634235 0.048669 0.884894
26.266167 0.634390 0.048718 0.884670
26.271960 0.634212 0.048683 0.884836
26.270395 0.634247 0.048694 0.884761
26.268223 0.634407 0.048707 0.884703
26.278899 0.634005 0.048642 0.884979
26.274643 0.634236 0.048668 0.884868
26.273346 0.634220 0.048676 0.884870
26.269572 0.634388 0.048698 0.884782
26.273988 0.634359 0.048673 0.884854
26.272209 0.634473 0.048683 0.884819
26.272588 0.634369 0.048680 0.884834
26.269889 0.634319 0.048697 0.884742
26.271128 0.634563 0.048689 0.884797
26.273131 0.634297 0.048678 0.884806
26.277151 0.634254 0.048654 0.884974
26.268086 0.634634 0.048708 0.884748
26.275866 0.633925 0.048662 0.884880
26.275053 0.634432 0.048667 0.884885
26.277285 0.634276 0.048654 0.884964
26.268876 0.634651 0.048704 0.884789
26.279077 0.634225 0.048643 0.884973
26.278083 0.634403 0.048650 0.884952
26.280196 0.634196 0.048636 0.884990
26.270422 0.634714 0.048696 0.884812
26.272425 0.634816 0.048684 0.884898
26.267899 0.634631 0.048711 0.884702
26.272186 0.634562 0.048685 0.884828
26.273369 0.634615 0.048678 0.884871
26.277826 0.634507 0.048652 0.884999
26.277543 0.634583 0.048654 0.884920
26.277460 0.634406 0.048654 0.884941
26.276351 0.634514 0.048661 0.884933
26.279781 0.634211 0.048640 0.884963
26.275806 0.634509 0.048664 0.884887
26.277485 0.634584 0.048654 0.884976
26.273364 0.634633 0.048679 0.884861
26.274174 0.634753 0.048675 0.884886
26.276897 0.634470 0.048658 0.884873
26.278332 0.634471 0.048650 0.884959
